Ano,Mes,Ano_Mes,Precios_Mensuales,Aportes_Energia_GWh,Volumen_Util_Diario_Energia_GWh,Demanda_Energia_SIN_GWh,CEN_Total,CEN_Hidro,CEN_Termica
2001,10,2001-10,46.79493279569893,2812.7831,10993.20482722,3746.3550190600017,13.15867,8.68067,4.4639999999999995
2001,11,2001-11,38.96041666666668,3311.387,11425.672890419999,3613.553127850001,13.15867,8.68067,4.4639999999999995
2001,12,2001-12,35.05717741935483,3240.2789,12620.362989000001,3757.2144110700015,13.16023,8.68223,4.4639999999999995
2002,1,2002-01,38.7084677419355,1719.3251,11307.3015537,3671.5911111900014,13.16023,8.68223,4.4639999999999995
2002,2,2002-02,56.64971726190475,1280.0911,9974.0739567,3462.6619413300014,13.15823,8.68223,4.462
2002,3,2002-03,52.8739247311828,2094.2001,9026.6127345,3701.0134780300014,13.11051,8.67251,4.424
2002,4,2002-04,48.44463888888889,4001.0642000000003,9880.4355055,3680.224108370001,13.06051,8.62251,4.424
2002,5,2002-05,39.4168817204301,4769.0116,11216.1778309,3813.0211790600015,13.28751,8.87851,4.395
2002,6,2002-06,35.136513888888885,6319.5345,12763.6803216,3602.0309147700013,13.30601,8.89701,4.395
2002,7,2002-07,42.15305107526881,4748.0331,13115.0928804,3766.437154150002,13.05501,8.64601,4.395
2002,8,2002-08,45.404139784946246,4503.1515,13027.4632063,3832.3094000700016,13.46101,9.04201,4.405
2002,9,2002-09,49.06205555555557,3110.2286,12824.0327819,3767.7941339900012,13.42301,9.04201,4.367
2002,10,2002-10,60.22159946236559,2939.0961,12537.9349497,3886.1988793600017,13.42301,9.04201,4.367
2002,11,2002-11,53.038513888888886,2847.4462,12287.6126635,3753.6543288000016,13.42501,9.04201,4.369
2002,12,2002-12,64.0987634408602,2263.8471,11154.3913591,3904.1648256100016,13.42501,9.04201,4.369
2003,1,2003-01,69.12112903225805,1172.8747,9344.5233857,3810.942053970002,13.39401,9.00801,4.372
2003,2,2003-02,71.96537202380952,1185.1546,7648.9653356,3550.1474951500013,13.39401,9.00801,4.372
2003,3,2003-03,76.838373655914,1953.1537,6358.9664302,3890.9730626100013,13.39401,9.00801,4.372
2003,4,2003-04,80.11538888888889,3696.2077,6708.8362635,3693.8220128600015,13.28001,8.89401,4.372
2003,5,2003-05,69.47559139784946,5255.3701,8397.3791459,3887.2120475700012,13.28001,8.89401,4.372
2003,6,2003-06,64.6990833333333,4816.5965,9750.469862099999,3642.107711950001,13.28001,8.89401,4.372
2003,7,2003-07,69.92896505376345,4457.6838,10570.3676741,3902.8970627200015,13.28001,8.89401,4.372
2003,8,2003-08,65.2063440860215,3926.3761,11005.8669939,3886.8927076400005,13.31431,8.93281,4.362
2003,9,2003-09,62.49640277777776,3511.6607,11067.7453021,3836.03321527,13.27531,8.94281,4.313
2003,10,2003-10,55.491733870967735,4520.5337,11827.87351,3941.7011632799995,13.15731,8.82381,4.314
2003,11,2003-11,63.67080555555556,3958.2974,12181.520813000001,3809.50176016,13.19159,8.82419,4.3479
2003,12,2003-12,52.344112903225806,3455.4168,12177.5477349,3963.96866505,13.22899,8.86159,4.3479
2004,1,2004-01,58.87495967741937,2093.6071,10776.542778000001,3810.3605084399987,13.23999,8.86459,4.3359
2004,2,2004-02,70.40469827586206,1563.2155,8960.4957892,3743.7341496099993,13.24349,8.86809,4.3359
2004,3,2004-03,73.14544354838709,2355.8771,7720.7613044,4027.506417529999,13.24349,8.86809,4.3359
2004,4,2004-04,70.65068055555554,3620.9003,7784.790241299999,3790.60676218,13.10889,8.88749,4.1819
2004,5,2004-05,72.12720430107527,5828.246,9739.1714218,3931.09716363,13.10889,8.88749,4.1819
2004,6,2004-06,51.34704166666666,6408.2449,11607.6232391,3835.5930399300005,13.15589,8.88749,4.2289
2004,7,2004-07,52.8316935483871,5159.0752999999995,12497.8968599,3937.4501531999995,13.15689,8.88749,4.2299
2004,8,2004-08,53.98297043010754,4685.1604,12477.8188253,4027.21721305,13.32789,8.88749,4.3979
2004,9,2004-09,60.11555555555555,4100.2242,12810.2785024,3900.0541903699996,13.38929,8.89199,4.4548
2004,10,2004-10,71.77303763440862,4526.0487,13068.0051213,3999.4952198499986,13.40909,8.91179,4.4548
2004,11,2004-11,67.380375,5062.1301,13204.124698399999,3920.8758390900002,13.41149,8.91419,4.4548
2004,12,2004-12,67.57036290322584,2967.3066,12394.7741929,4087.10548036,13.42709,8.92579,4.4588
2005,1,2005-01,82.78069892473115,2225.6742,11054.3890606,3946.7898658800013,13.36359,8.94519,4.3759
2005,2,2005-02,73.86474702380953,2005.3082,9554.4426521,3708.6804975600016,13.36359,8.94519,4.3759
